Date,Open,High,Low,Close,Volume,Adj Close
2014-10-09,460.00,460.00,423.00,425.35,224800,422.11
2014-10-08,469.90,469.90,452.50,457.00,213500,453.51
2014-10-07,479.50,479.50,459.00,462.00,150100,458.48
2014-10-06,518.60,520.00,477.00,477.00,134200,473.36
2014-10-03,470.00,509.00,468.00,506.00,83902000,502.14
2014-10-02,490.00,490.00,460.00,467.50,93343100,463.93
2014-10-01,558.00,558.00,503.00,503.00,78188800,499.16
2014-09-30,551.00,561.00,548.00,558.00,59112400,553.74
2014-09-29,546.00,552.00,540.00,551.00,59423900,546.80
2014-09-26,534.00,546.00,532.00,545.50,49421600,541.34
2014-09-25,543.00,543.00,523.00,528.60,64769900,524.57
2014-09-24,534.00,536.50,519.00,536.50,77906600,532.41
2014-09-23,534.00,534.00,523.00,532.00,68053600,527.94
2014-09-22,511.00,534.00,508.00,533.00,45214600,528.93
2014-09-19,504.00,511.00,502.00,509.00,49725900,505.12
2014-09-18,510.00,510.00,496.00,503.50,42612400,499.66
2014-09-17,500.00,505.50,493.00,504.00,74642700,500.16
2014-09-16,480.00,504.90,480.00,504.00,52087600,500.16
2014-09-15,480.00,494.00,471.00,476.10,79314000,472.47
2014-09-12,474.00,480.00,473.50,476.00,47759100,472.37
2014-09-11,468.00,476.95,464.00,473.00,51114200,469.39
2014-09-10,466.50,468.50,459.00,468.00,35734700,464.43
2014-09-09,460.00,464.75,453.00,461.50,41135500,457.98
2014-09-08,456.50,465.00,455.00,458.25,48839300,454.75
2014-09-05,440.85,457.00,435.00,452.00,44673200,448.55
2014-09-04,456.00,456.00,439.40,441.00,47250500,437.64
2014-09-03,450.00,463.00,448.55,460.50,59443600,456.99
2014-09-02,439.50,439.50,430.00,438.50,39537000,435.16
2014-09-01,422.10,435.00,422.10,432.00,23661600,428.71
2014-08-29,433.00,435.00,421.50,422.00,53029000,418.78
2014-08-28,438.00,438.00,427.00,428.95,35825500,425.68
2014-08-27,424.00,440.00,423.00,430.50,48658400,427.22
2014-08-26,418.90,425.00,413.00,421.00,31378400,417.79
2014-08-25,400.00,412.00,400.00,412.00,47012000,408.86
2014-08-22,394.00,398.00,390.50,398.00,35890000,394.96
2014-08-21,392.00,394.00,387.00,393.00,35612000,390.00
